epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71344,2.88738,4.04402,2.73966,0.00333,1,0.06476,0.01796,2.05472,3.96172,2.15893,0.00014,0.00014,0.00014
2,5.14914,1.48544,2.55153,1.46987,0.00333,1,0.995,0.6441,1.05551,2.72566,1.10176,0.00029703,0.00029703,0.00029703
3,7.26311,1.19292,1.58068,1.17723,0.00333,1,0.995,0.62492,1.19045,2.68405,1.1499,0.000450892,0.000450892,0.000450892
4,9.28504,1.28766,1.39409,1.20819,0.00379,1,0.995,0.76149,0.85471,2.54391,1.00145,0.000601586,0.000601586,0.000601586
5,11.3857,1.07879,1.35698,1.14102,0.00333,1,0.995,0.67489,1.08411,2.60455,1.08316,0.000749112,0.000749112,0.000749112
6,13.491,1.05243,1.20539,1.13535,0.00973,1,0.995,0.6668,1.14555,2.62052,1.14258,0.00089347,0.00089347,0.00089347
7,15.6393,1.02614,1.26572,1.11744,0.99375,1,0.995,0.70157,1.19138,1.7756,1.20618,0.00103466,0.00103466,0.00103466
8,17.7574,0.99771,1.13803,1.10848,0.99477,1,0.995,0.66175,1.30256,1.6693,1.33376,0.00117268,0.00117268,0.00117268
9,19.9173,1.04142,1.18203,1.15279,0.99724,1,0.995,0.83524,0.7381,1.15696,0.9992,0.00130754,0.00130754,0.00130754
10,22.0608,0.92756,1.12044,1.11309,0.99746,1,0.995,0.76583,0.94973,1.01486,1.06086,0.00143922,0.00143922,0.00143922
11,24.262,0.9858,1.10072,1.1395,0.9628,0.96774,0.95907,0.6238,1.20692,1.12569,1.20205,0.00156774,0.00156774,0.00156774
12,26.0924,0.99595,1.10741,1.15194,0.99733,1,0.995,0.68505,0.98939,1.04469,1.0945,0.00169309,0.00169309,0.00169309
13,27.9213,0.78622,0.98039,1.04373,0.99777,1,0.995,0.74708,0.90895,0.81536,1.03283,0.0017624,0.0017624,0.0017624
14,29.7285,0.82497,0.90749,1.05072,0.9928,1,0.995,0.76423,0.91022,0.81832,1.04592,0.0017426,0.0017426,0.0017426
15,31.671,0.84647,0.9487,1.05167,0.99802,1,0.995,0.82661,0.73993,0.77754,1.0049,0.0017228,0.0017228,0.0017228
16,33.6889,0.71119,0.85679,0.98933,0.99754,1,0.995,0.76492,0.96714,1.13624,1.19046,0.001703,0.001703,0.001703
17,35.6546,0.77256,0.85192,1.04095,0.99725,1,0.995,0.75233,0.85816,0.98712,1.04855,0.0016832,0.0016832,0.0016832
