epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07062,1.61573,3.62306,1.5482,0.00333,1,0.76578,0.45113,1.3944,2.88896,0.97723,0.00014,0.00014,0.00014
2,5.05128,1.02533,1.9599,1.00466,0.98272,1,0.995,0.6365,1.0893,2.27706,0.87306,0.00029703,0.00029703,0.00029703
3,6.92219,0.89882,1.31889,0.9453,0.00333,1,0.995,0.57747,1.35158,2.57458,1.01784,0.000450892,0.000450892,0.000450892
4,8.83107,0.8341,1.29124,0.94716,0.72717,1,0.92971,0.74289,0.59591,2.45913,0.80472,0.000601586,0.000601586,0.000601586
5,10.683,0.78158,1.30419,0.94018,0.99138,1,0.995,0.87594,0.57206,2.00368,0.80052,0.000749112,0.000749112,0.000749112
6,12.5487,0.67261,1.08918,0.88893,0.98762,1,0.995,0.77754,0.76845,1.87651,0.83864,0.00089347,0.00089347,0.00089347
7,14.3895,0.69347,1.08526,0.90887,0.98542,1,0.995,0.78999,0.77854,1.77178,0.8375,0.00103466,0.00103466,0.00103466
8,16.2021,0.6625,0.99866,0.90463,0.99341,1,0.995,0.87037,0.55383,1.46742,0.81417,0.00117268,0.00117268,0.00117268
9,18.0595,0.69357,0.98573,0.93484,0.99748,1,0.995,0.87009,0.56255,1.18709,0.80672,0.00130754,0.00130754,0.00130754
10,19.9315,0.66292,0.92094,0.90757,0.998,1,0.995,0.78571,0.75562,1.20614,0.83551,0.00143922,0.00143922,0.00143922
11,21.7546,0.61802,0.89786,0.88687,0.99762,1,0.995,0.82414,0.72499,0.96864,0.83414,0.00156774,0.00156774,0.00156774
12,23.5555,0.67853,0.91431,0.90773,0.99687,1,0.995,0.81328,0.66755,1.07948,0.82618,0.00169309,0.00169309,0.00169309
13,25.3428,0.60702,0.82177,0.8765,0.99541,1,0.995,0.88576,0.50262,0.94841,0.82514,0.0017624,0.0017624,0.0017624
14,27.1393,0.60892,0.77469,0.8787,0.86681,1,0.98379,0.84305,0.68294,1.13157,0.85419,0.0017426,0.0017426,0.0017426
15,28.9227,0.60062,0.78455,0.89127,0.99451,1,0.995,0.92314,0.55434,0.96159,0.81094,0.0017228,0.0017228,0.0017228
16,30.7222,0.59112,0.72524,0.87191,0.99799,1,0.995,0.83395,0.71937,0.73967,0.8273,0.001703,0.001703,0.001703
17,32.5144,0.59816,0.74108,0.87141,0.99812,1,0.995,0.92612,0.40523,0.70582,0.78172,0.0016832,0.0016832,0.0016832
18,34.3123,0.57728,0.69926,0.8712,0.99819,1,0.995,0.87272,0.59032,0.71878,0.8306,0.0016634,0.0016634,0.0016634
19,36.1129,0.55808,0.67687,0.87016,0.99777,1,0.995,0.89883,0.48598,0.63453,0.81972,0.0016436,0.0016436,0.0016436
20,37.9146,0.53216,0.64597,0.86666,0.99809,1,0.995,0.88898,0.51662,0.62468,0.81712,0.0016238,0.0016238,0.0016238
21,39.7043,0.53524,0.60592,0.86318,0.99822,1,0.995,0.9031,0.45033,0.50266,0.7903,0.001604,0.001604,0.001604
22,41.4934,0.53917,0.60332,0.8565,0.99824,1,0.995,0.88699,0.57774,0.63015,0.80334,0.0015842,0.0015842,0.0015842
23,43.2771,0.53849,0.64273,0.8527,0.99827,1,0.995,0.93052,0.44379,0.51764,0.77981,0.0015644,0.0015644,0.0015644
24,45.0758,0.51566,0.56647,0.8595,0.99828,1,0.995,0.93666,0.4074,0.57096,0.77047,0.0015446,0.0015446,0.0015446
25,46.8741,0.51243,0.5694,0.85091,0.9981,1,0.995,0.84433,0.54882,0.64946,0.80597,0.0015248,0.0015248,0.0015248
26,48.6771,0.51862,0.56995,0.86099,0.99814,1,0.995,0.93583,0.41399,0.54561,0.7741,0.001505,0.001505,0.001505
27,50.4648,0.5015,0.53817,0.85881,0.99824,1,0.995,0.92055,0.36584,0.51978,0.77095,0.0014852,0.0014852,0.0014852
28,52.2643,0.50899,0.5076,0.84521,0.99815,1,0.995,0.91517,0.52997,0.63472,0.77874,0.0014654,0.0014654,0.0014654
29,54.0381,0.48301,0.5227,0.86916,0.99826,1,0.995,0.93992,0.41727,0.47377,0.77199,0.0014456,0.0014456,0.0014456
30,55.8339,0.52588,0.52259,0.86039,0.99823,1,0.995,0.8989,0.39472,0.45314,0.7708,0.0014258,0.0014258,0.0014258
31,57.626,0.46378,0.47861,0.841,0.99827,1,0.995,0.88243,0.40394,0.47251,0.77472,0.001406,0.001406,0.001406
32,59.4114,0.51416,0.48706,0.86023,0.99815,1,0.995,0.93447,0.35328,0.42018,0.76501,0.0013862,0.0013862,0.0013862
33,61.1963,0.48732,0.45922,0.8647,0.99817,1,0.995,0.93864,0.39245,0.43333,0.77937,0.0013664,0.0013664,0.0013664
34,62.9764,0.49191,0.48212,0.86517,0.99823,1,0.995,0.90359,0.46483,0.44233,0.78974,0.0013466,0.0013466,0.0013466
35,64.7606,0.51186,0.45705,0.85248,0.99823,1,0.995,0.9299,0.42723,0.44407,0.76922,0.0013268,0.0013268,0.0013268
36,66.5489,0.49164,0.47184,0.87078,0.99826,1,0.995,0.92791,0.3673,0.39388,0.77869,0.001307,0.001307,0.001307
37,68.3179,0.5169,0.46276,0.8554,0.99825,1,0.995,0.93244,0.3374,0.40469,0.77504,0.0012872,0.0012872,0.0012872
38,70.1145,0.46122,0.44474,0.84914,0.99823,1,0.995,0.9212,0.37312,0.39311,0.78146,0.0012674,0.0012674,0.0012674
39,71.9018,0.47488,0.42653,0.84236,0.99839,1,0.995,0.89851,0.43073,0.40383,0.78501,0.0012476,0.0012476,0.0012476
40,73.6879,0.48416,0.44048,0.86293,0.99811,1,0.995,0.95218,0.36709,0.38437,0.75407,0.0012278,0.0012278,0.0012278
41,75.4808,0.46641,0.45439,0.87855,0.99825,1,0.995,0.95086,0.33378,0.35447,0.75901,0.001208,0.001208,0.001208
42,77.2623,0.44091,0.39881,0.85981,0.99824,1,0.995,0.94084,0.34409,0.3435,0.76708,0.0011882,0.0011882,0.0011882
43,79.3251,0.43245,0.41243,0.84839,0.99828,1,0.995,0.88053,0.4704,0.34871,0.79239,0.0011684,0.0011684,0.0011684
44,81.1271,0.48202,0.41975,0.87167,0.99788,1,0.995,0.91452,0.42934,0.36861,0.78378,0.0011486,0.0011486,0.0011486
45,82.912,0.48333,0.4168,0.85269,0.99729,1,0.995,0.95328,0.39145,0.43549,0.77708,0.0011288,0.0011288,0.0011288
46,84.7057,0.46423,0.41998,0.8662,0.99799,1,0.995,0.97559,0.34676,0.39941,0.76255,0.001109,0.001109,0.001109
47,86.5295,0.45671,0.39694,0.86824,0.9983,1,0.995,0.95902,0.32035,0.34222,0.76464,0.0010892,0.0010892,0.0010892
48,88.3151,0.49746,0.4114,0.87418,0.99837,1,0.995,0.96681,0.33375,0.35782,0.7687,0.0010694,0.0010694,0.0010694
49,90.0905,0.4282,0.38196,0.84008,0.99833,1,0.995,0.94325,0.39862,0.33992,0.77368,0.0010496,0.0010496,0.0010496
50,91.8759,0.42577,0.36547,0.8608,0.99826,1,0.995,0.94669,0.31914,0.34092,0.76645,0.0010298,0.0010298,0.0010298
51,93.6511,0.40244,0.34358,0.84095,0.99825,1,0.995,0.95736,0.30866,0.31691,0.77152,0.00101,0.00101,0.00101
52,95.438,0.4318,0.36978,0.85447,0.99828,1,0.995,0.95603,0.31645,0.31388,0.7741,0.0009902,0.0009902,0.0009902
53,97.2203,0.43301,0.37104,0.84983,0.99828,1,0.995,0.94629,0.29845,0.27795,0.77936,0.0009704,0.0009704,0.0009704
54,99.0025,0.43379,0.37387,0.84373,0.99831,1,0.995,0.96724,0.31878,0.28596,0.77396,0.0009506,0.0009506,0.0009506
55,100.78,0.43729,0.36439,0.85073,0.99832,1,0.995,0.93761,0.30555,0.291,0.77069,0.0009308,0.0009308,0.0009308
56,102.568,0.4532,0.36769,0.85852,0.99829,1,0.995,0.96753,0.31607,0.2921,0.76371,0.000911,0.000911,0.000911
57,104.333,0.41342,0.35622,0.84629,0.99831,1,0.995,0.94774,0.32248,0.283,0.77384,0.0008912,0.0008912,0.0008912
58,106.125,0.42366,0.34908,0.85271,0.99827,1,0.995,0.95704,0.32219,0.2464,0.77621,0.0008714,0.0008714,0.0008714
59,107.908,0.38891,0.31966,0.81677,0.9983,1,0.995,0.95432,0.31702,0.25376,0.77365,0.0008516,0.0008516,0.0008516
60,109.728,0.41354,0.33119,0.84244,0.99829,1,0.995,0.95509,0.31169,0.25239,0.76833,0.0008318,0.0008318,0.0008318
61,111.526,0.39462,0.33599,0.84345,0.99828,1,0.995,0.95884,0.30441,0.26086,0.77617,0.000812,0.000812,0.000812
62,113.297,0.38229,0.33612,0.85306,0.99831,1,0.995,0.91914,0.36328,0.26926,0.78329,0.0007922,0.0007922,0.0007922
63,115.086,0.41052,0.34566,0.82915,0.99834,1,0.995,0.93337,0.34393,0.25552,0.77518,0.0007724,0.0007724,0.0007724
64,116.867,0.38648,0.31415,0.85185,0.9984,1,0.995,0.94806,0.3377,0.25729,0.77017,0.0007526,0.0007526,0.0007526
65,118.654,0.42037,0.31924,0.84447,0.99839,1,0.995,0.94336,0.33206,0.27306,0.77322,0.0007328,0.0007328,0.0007328
66,120.434,0.42602,0.31716,0.84382,0.99834,1,0.995,0.93953,0.3302,0.27314,0.76725,0.000713,0.000713,0.000713
67,122.226,0.42856,0.33419,0.85848,0.99822,1,0.995,0.96813,0.30699,0.27138,0.7626,0.0006932,0.0006932,0.0006932
68,124.009,0.38996,0.3194,0.84249,0.99809,1,0.995,0.95631,0.31253,0.26384,0.7553,0.0006734,0.0006734,0.0006734
69,125.793,0.36546,0.31598,0.83916,0.99829,1,0.995,0.94626,0.34619,0.27463,0.76243,0.0006536,0.0006536,0.0006536
70,127.574,0.40776,0.32328,0.84491,0.99835,1,0.995,0.96382,0.29757,0.256,0.75436,0.0006338,0.0006338,0.0006338
71,129.366,0.39761,0.30034,0.8393,0.99835,1,0.995,0.96923,0.28814,0.25014,0.75793,0.000614,0.000614,0.000614
72,131.155,0.3713,0.30436,0.82612,0.99834,1,0.995,0.96523,0.31024,0.25796,0.7667,0.0005942,0.0005942,0.0005942
73,132.944,0.38778,0.29728,0.84126,0.99834,1,0.995,0.9529,0.36403,0.26579,0.78149,0.0005744,0.0005744,0.0005744
74,134.721,0.39404,0.29828,0.82692,0.99832,1,0.995,0.95254,0.3227,0.25104,0.76839,0.0005546,0.0005546,0.0005546
75,136.505,0.36806,0.31084,0.84473,0.9983,1,0.995,0.96466,0.2779,0.24154,0.75646,0.0005348,0.0005348,0.0005348
76,138.283,0.3817,0.29117,0.85691,0.99832,1,0.995,0.97083,0.27345,0.22993,0.7585,0.000515,0.000515,0.000515
77,140.074,0.37567,0.28604,0.83087,0.99835,1,0.995,0.97179,0.28981,0.22253,0.7645,0.0004952,0.0004952,0.0004952
78,141.866,0.36935,0.30429,0.84381,0.99834,1,0.995,0.97128,0.29164,0.22322,0.76844,0.0004754,0.0004754,0.0004754
79,143.657,0.36706,0.2926,0.83022,0.9983,1,0.995,0.97182,0.32657,0.23646,0.77398,0.0004556,0.0004556,0.0004556
80,145.456,0.37742,0.27073,0.83855,0.9982,1,0.995,0.97421,0.29916,0.23275,0.76708,0.0004358,0.0004358,0.0004358
81,147.237,0.40748,0.30435,0.84209,0.99825,1,0.995,0.96525,0.2902,0.25165,0.76121,0.000416,0.000416,0.000416
82,149.027,0.35935,0.27482,0.83495,0.99828,1,0.995,0.96848,0.28451,0.24489,0.76175,0.0003962,0.0003962,0.0003962
83,150.807,0.36901,0.28579,0.83415,0.99828,1,0.995,0.96469,0.27632,0.21893,0.75564,0.0003764,0.0003764,0.0003764
84,152.597,0.33375,0.27005,0.83108,0.99826,1,0.995,0.96427,0.27795,0.21791,0.75243,0.0003566,0.0003566,0.0003566
85,154.397,0.36619,0.27618,0.83676,0.99829,1,0.995,0.94676,0.28715,0.23794,0.75305,0.0003368,0.0003368,0.0003368
86,156.178,0.35393,0.27768,0.82761,0.99829,1,0.995,0.96325,0.28643,0.23739,0.75645,0.000317,0.000317,0.000317
87,157.96,0.35462,0.2797,0.83261,0.99826,1,0.995,0.96196,0.27037,0.21808,0.75463,0.0002972,0.0002972,0.0002972
88,159.738,0.32607,0.25848,0.81405,0.99827,1,0.995,0.96196,0.2649,0.21867,0.75759,0.0002774,0.0002774,0.0002774
89,161.53,0.37412,0.28107,0.85273,0.9983,1,0.995,0.97294,0.26087,0.21181,0.75817,0.0002576,0.0002576,0.0002576
90,163.313,0.35215,0.26093,0.82852,0.99834,1,0.995,0.9696,0.25494,0.20024,0.75534,0.0002378,0.0002378,0.0002378
91,182.04,0.34605,0.32135,0.84602,0.99837,1,0.995,0.97162,0.25567,0.19498,0.75593,0.000218,0.000218,0.000218
92,183.81,0.31813,0.28324,0.81467,0.99835,1,0.995,0.96497,0.25649,0.20221,0.75724,0.0001982,0.0001982,0.0001982
93,185.574,0.31466,0.28319,0.84982,0.99833,1,0.995,0.96386,0.26144,0.18932,0.75804,0.0001784,0.0001784,0.0001784
94,187.369,0.31039,0.28654,0.8391,0.99831,1,0.995,0.96318,0.26858,0.18353,0.75701,0.0001586,0.0001586,0.0001586
95,189.216,0.33884,0.28894,0.81823,0.99833,1,0.995,0.96334,0.26982,0.1797,0.75576,0.0001388,0.0001388,0.0001388
96,191.022,0.31192,0.28601,0.83813,0.99831,1,0.995,0.97053,0.25777,0.17252,0.75373,0.000119,0.000119,0.000119
97,192.772,0.2974,0.27156,0.84688,0.99834,1,0.995,0.9759,0.25254,0.16725,0.75313,9.92e-05,9.92e-05,9.92e-05
98,194.535,0.30499,0.27174,0.83821,0.99836,1,0.995,0.97602,0.25194,0.17177,0.75366,7.94e-05,7.94e-05,7.94e-05
99,196.313,0.28821,0.26922,0.81631,0.99834,1,0.995,0.96771,0.25194,0.17174,0.75361,5.96e-05,5.96e-05,5.96e-05
100,198.074,0.3115,0.26343,0.84367,0.99832,1,0.995,0.96777,0.25452,0.17329,0.75366,3.98e-05,3.98e-05,3.98e-05
